time,prices,quantities,prodID,retID,description
2024-02-01,0.91,145,2391,2,Candles scented set (variant 160)
2024-02-01,0.01,44,3468,2,Hoodie fleece (variant 232)
2024-02-01,0.01,40,2238,1,Screen protector (variant 150)
2024-01-01,62.72,46,2030,2,Bluetooth earbuds (variant 136)
2024-02-01,26.44,180,2911,2,Kitchen sponge 3pk (variant 195)
2024-01-01,0.01,45,2648,1,Gloves winter (variant 177)
2024-02-01,16.59,165,3195,2,Cotton bath towel (variant 214)
2024-01-01,0.01,43,3298,1,Keyboard wrist rest (variant 220)
2024-02-01,3.45,139,2221,1,Honey 500g (variant 89)
2024-02-01,110.13,36,2450,2,Bluetooth earbuds (variant 164)
2024-01-01,57.09,11,2730,2,USB-C cable 1m (variant 183)
2024-02-01,101.08,47,2106,1,HDMI cable 2m (variant 141)
2024-01-01,0.01,239,3281,1,Basmati rice 1kg (variant 132)
2024-02-01,0.01,19,2074,2,Power bank 10000mAh (variant 139)
2024-01-01,0.01,185,3159,2,Pillow insert 50x70cm (variant 211)
2024-01-01,1.6,288,2353,2,Cheddar cheese 250g (variant 95)
2024-02-01,4.3,6,3480,2,Cotton socks 3pk (variant 233)
2024-01-01,0.01,24,3200,2,Belt leather (variant 214)
2024-02-01,35.25,17,2952,1,Shorts chino (variant 197)
2024-01-01,94.24,50,3346,2,Wireless mouse (variant 224)
2024-01-01,49.21,47,2298,1,Screen protector (variant 154)
2024-02-01,0.01,18,2927,2,Trash bags 30L (variant 196)
2024-01-01,23.46,144,2939,2,Doormat 60x40cm (variant 196)
2024-01-01,5.9,88,2735,2,Paper towels 4pk (variant 183)
2024-02-01,0.01,27,2499,1,Pillow insert 50x70cm (variant 167)
2024-01-01,0.01,90,2717,2,Green tea bags 50pk (variant 109)
2024-02-01,0.01,43,2943,2,Dish soap 500ml (variant 197)
2024-02-01,6.66,92,2377,1,Free-range eggs 12pk (variant 96)
2024-01-01,6.67,90,2361,1,Avocados 4pk (variant 95)
2024-02-01,40.35,7,2250,1,USB-C cable 1m (variant 151)
2024-01-01,9.44,319,3349,1,Peanut butter 500g (variant 134)
2024-02-01,9.09,111,2421,2,Honey 500g (variant 97)
2024-01-01,0.01,43,2612,1,Jeans slim fit (variant 175)
2024-02-01,0.01,141,3491,2,Storage box 10L (variant 233)
2024-02-01,26.33,147,2107,2,Picture frame A4 (variant 141)
2024-02-01,0.01,38,2022,1,LED desk lamp (variant 135)
2024-01-01,0.01,7,2026,1,Wireless mouse (variant 136)
2024-01-01,0.01,244,2217,1,Green tea bags 50pk (variant 89)
2024-01-01,45.63,11,3118,1,Keyboard wrist rest (variant 208)
2024-02-01,15.43,185,2763,1,Dish soap 500ml (variant 185)
2024-01-01,51.43,31,3314,1,Mouse pad XL (variant 221)
2024-02-01,0.14,395,2229,1,Greek yogurt 500g (variant 90)
2024-01-01,0.01,169,2011,2,Kitchen sponge 3pk (variant 135)
2024-02-01,0.83,85,2356,1,T-shirt plain (variant 158)
2024-01-01,14.96,86,2219,2,Doormat 60x40cm (variant 148)
2024-02-01,3.39,39,2961,1,Avocados 4pk (variant 119)
2024-02-01,0.01,9,3124,1,Sneakers casual (variant 209)
2024-02-01,3.1,23,2053,2,Cheddar cheese 250g (variant 83)
2024-01-01,0.01,295,3169,1,Sparkling water 6pk (variant 127)
2024-02-01,0.01,45,2712,2,Shorts chino (variant 181)
2024-01-01,160.64,35,2902,1,Webcam 1080p (variant 194)
2024-01-01,0.01,7,3014,2,Mouse pad XL (variant 201)
2024-02-01,0.01,59,2820,2,Cotton socks 3pk (variant 189)
2024-01-01,0.01,12,2260,2,Polo shirt (variant 151)
2024-01-01,0.01,50,2704,2,Sneakers casual (variant 181)
2024-02-01,3.02,493,2989,1,Baby spinach 200g (variant 120)
2024-02-01,0.01,10,2112,1,Shorts chino (variant 141)
2024-02-01,0.01,183,2491,2,Kitchen sponge 3pk (variant 167)
2024-02-01,13.85,15,3431,2,Storage box 10L (variant 229)
2024-01-01,32.8,36,3190,1,Wireless charger (variant 213)
2024-01-01,93.18,16,2266,2,Wireless mouse (variant 152)
2024-02-01,0.01,38,2823,2,Dish soap 500ml (variant 189)
2024-02-01,20.03,83,2615,2,Paper towels 4pk (variant 175)
2024-02-01,0.01,67,3104,1,Sweatpants joggers (variant 207)
2024-02-01,27.16,17,2271,2,Candles scented set (variant 152)
2024-02-01,16.21,13,2526,1,HDMI cable 2m (variant 169)
2024-02-01,151.36,49,2458,2,Keyboard wrist rest (variant 164)
2024-02-01,1.41,479,2749,1,Peanut butter 500g (variant 110)
2024-02-01,15.6,158,3183,1,Dish soap 500ml (variant 213)
2024-01-01,0.01,65,3204,2,Underwear briefs 3pk (variant 214)
2024-01-01,0.01,32,2470,1,Wireless charger (variant 165)
2024-01-01,59.46,21,3184,1,Sneakers casual (variant 213)
2024-02-01,31.81,100,2355,2,Cotton bath towel (variant 158)
2024-01-01,6.89,385,2157,2,Pasta penne 500g (variant 87)
2024-01-01,14.47,5,3299,1,Doormat 60x40cm (variant 220)
2024-01-01,35.47,99,2312,1,Jeans slim fit (variant 155)
2024-02-01,31.29,27,2182,2,Webcam 1080p (variant 146)
2024-02-01,0.01,29,2002,2,Webcam 1080p (variant 134)
2024-02-01,0.01,18,2298,2,Screen protector (variant 154)
2024-01-01,0.01,41,3090,1,USB-C cable 1m (variant 207)
2024-01-01,134.91,32,2782,2,Webcam 1080p (variant 186)
2024-01-01,1.68,163,2813,2,Red apples 1kg (variant 113)
2024-01-01,5.66,86,3021,2,Honey 500g (variant 121)
2024-02-01,0.29,392,2625,2,Organic whole milk 1L (variant 106)
2024-01-01,2.41,56,2425,2,Organic whole milk 1L (variant 98)
2024-01-01,0.01,139,2899,1,Laundry detergent 1L (variant 194)
2024-02-01,0.01,64,3188,1,Gloves winter (variant 213)
2024-02-01,1.43,494,3493,2,Orange juice 1L (variant 140)
2024-02-01,0.01,105,2695,1,Cutting board bamboo (variant 180)
2024-01-01,0.01,73,2480,2,Belt leather (variant 166)
2024-01-01,35.37,43,2252,1,Jeans slim fit (variant 151)
2024-02-01,0.01,13,3022,2,Webcam 1080p (variant 202)
2024-01-01,34.75,25,3006,1,HDMI cable 2m (variant 201)
2024-01-01,5.21,220,2729,2,Greek yogurt 500g (variant 110)
2024-01-01,8.0,145,2081,2,Basmati rice 1kg (variant 84)
2024-01-01,0.01,15,3147,1,Clothes hangers 10pk (variant 210)
2024-02-01,57.61,46,2310,2,USB-C cable 1m (variant 155)
2024-02-01,8.85,58,2880,1,Cotton socks 3pk (variant 193)
2024-02-01,2.93,61,2976,1,Scarf wool blend (variant 199)
2024-01-01,31.14,46,2571,1,Candles scented set (variant 172)
2024-01-01,0.01,46,2654,1,Mouse pad XL (variant 177)
2024-01-01,0.01,45,2086,2,Wireless mouse (variant 140)
2024-02-01,0.01,80,2311,2,Kitchen sponge 3pk (variant 155)
2024-02-01,5.27,131,2903,1,Curtains blackout pair (variant 194)
2024-02-01,116.9,31,2218,2,Keyboard wrist rest (variant 148)
2024-02-01,47.46,37,2140,1,Polo shirt (variant 143)
2024-02-01,1.0,298,2629,1,Greek yogurt 500g (variant 106)
2024-02-01,0.01,383,3165,1,Dark chocolate 100g (variant 127)
2024-02-01,0.01,80,2009,2,Fresh salmon fillet 200g (variant 81)
2024-01-01,0.01,175,2815,2,Cutting board bamboo (variant 188)
2024-01-01,0.01,74,2145,1,Almond butter 350g (variant 86)
2024-01-01,9.46,43,2320,2,Polo shirt (variant 155)
2024-02-01,16.84,53,3012,1,Shorts chino (variant 201)
2024-01-01,0.01,200,2279,1,Doormat 60x40cm (variant 152)
2024-02-01,0.01,184,2395,2,Cutting board bamboo (variant 160)
2024-02-01,114.01,24,2150,2,Bluetooth earbuds (variant 144)
2024-02-01,0.01,48,2484,2,Underwear briefs 3pk (variant 166)
2024-01-01,0.01,4,2698,2,Keyboard wrist rest (variant 180)
2024-01-01,12.1,70,3288,1,Hoodie fleece (variant 220)
2024-02-01,0.01,182,2057,1,Pasta penne 500g (variant 83)
2024-01-01,0.6,160,2313,1,Red apples 1kg (variant 93)
2024-02-01,40.44,160,3091,2,Kitchen sponge 3pk (variant 207)
2024-02-01,12.87,3,2266,1,Wireless mouse (variant 152)
2024-02-01,0.01,109,3363,1,Dish soap 500ml (variant 225)
2024-02-01,4.7,39,2850,1,USB-C cable 1m (variant 191)
2024-01-01,1.44,19,2232,1,Shorts chino (variant 149)
2024-01-01,0.01,10,2464,1,Sneakers casual (variant 165)
2024-02-01,0.85,500,2245,2,Almond butter 350g (variant 90)
2024-01-01,32.57,47,2856,1,Scarf wool blend (variant 191)
2024-02-01,7.37,60,2884,1,Sneakers casual (variant 193)
2024-01-01,92.28,15,2414,1,Mouse pad XL (variant 161)
2024-02-01,6.17,173,2743,2,Shower curtain (variant 183)
2024-01-01,46.88,100,2912,1,Jeans slim fit (variant 195)
2024-01-01,0.01,12,3234,2,SD card 64GB (variant 216)
2024-02-01,23.63,93,2424,1,Underwear briefs 3pk (variant 162)
2024-01-01,0.01,5,2458,1,Keyboard wrist rest (variant 164)
2024-02-01,0.01,220,2877,2,Free-range eggs 12pk (variant 116)
2024-01-01,47.86,22,3014,1,Mouse pad XL (variant 201)
2024-02-01,5.75,187,3029,2,Greek yogurt 500g (variant 122)
2024-02-01,25.16,25,3075,2,Cotton bath towel (variant 206)
2024-01-01,62.72,68,2136,1,Scarf wool blend (variant 143)
2024-02-01,0.01,16,2506,2,Wireless mouse (variant 168)
2024-02-01,101.76,25,2374,1,Power bank 10000mAh (variant 159)
2024-02-01,33.72,168,2923,1,Shower curtain (variant 195)
2024-02-01,46.47,183,3047,1,Trash bags 30L (variant 204)
2024-02-01,94.95,7,3014,1,Mouse pad XL (variant 201)
2024-02-01,0.39,134,3045,2,Almond butter 350g (variant 122)
2024-01-01,0.01,109,2303,2,Curtains blackout pair (variant 154)
2024-02-01,3.28,156,2509,2,Fresh salmon fillet 200g (variant 101)
2024-01-01,0.01,37,3178,1,Keyboard wrist rest (variant 212)
2024-02-01,39.33,187,3163,2,Shower curtain (variant 211)
2024-02-01,2.15,204,2513,2,Red apples 1kg (variant 101)
2024-01-01,0.01,200,3051,1,Candles scented set (variant 204)
2024-01-01,3.26,177,3141,1,Instant coffee 200g (variant 126)
2024-01-01,0.01,23,2406,1,HDMI cable 2m (variant 161)
2024-02-01,0.01,271,2797,1,Frozen peas 1kg (variant 112)
2024-01-01,4.38,64,3293,1,Orange juice 1L (variant 132)
2024-02-01,26.3,84,2419,2,Laundry detergent 1L (variant 162)
2024-01-01,43.93,88,2864,1,Sweatpants joggers (variant 191)
2024-02-01,0.01,186,2193,2,Orange juice 1L (variant 88)
2024-02-01,46.51,51,2708,1,Gloves winter (variant 181)
2024-01-01,0.01,51,2331,2,Candles scented set (variant 156)
2024-02-01,3.75,232,3425,1,Organic whole milk 1L (variant 138)
2024-02-01,13.7,71,2380,2,Polo shirt (variant 159)
2024-01-01,146.02,28,2870,2,Bluetooth earbuds (variant 192)
2024-01-01,0.01,62,3244,1,Sneakers casual (variant 217)
2024-02-01,0.01,216,2073,1,Soy sauce 500ml (variant 83)
2024-02-01,2.68,303,3417,2,Green tea bags 50pk (variant 137)
2024-02-01,153.86,6,2206,2,Wireless mouse (variant 148)
2024-01-01,22.0,135,3223,1,Shower curtain (variant 215)
2024-01-01,0.01,26,2295,2,Cotton bath towel (variant 154)
2024-02-01,13.01,43,2747,2,Trash bags 30L (variant 184)
2024-01-01,1.44,11,2670,2,USB-C cable 1m (variant 179)
2024-01-01,0.01,72,2924,1,Sweatpants joggers (variant 195)
2024-01-01,0.01,52,2896,1,T-shirt plain (variant 194)
2024-02-01,0.94,92,3167,1,Trash bags 30L (variant 212)
2024-01-01,40.9,167,2875,2,Cutting board bamboo (variant 192)
2024-01-01,22.36,116,3187,2,Picture frame A4 (variant 213)
2024-02-01,39.64,12,3474,2,SD card 64GB (variant 232)
2024-01-01,0.79,49,2889,2,Baby spinach 200g (variant 116)
2024-02-01,1.06,113,2245,1,Almond butter 350g (variant 90)
2024-02-01,67.41,69,2536,1,T-shirt plain (variant 170)
2024-02-01,0.01,20,3038,1,USB hub 4-port (variant 203)
2024-01-01,114.69,30,2506,1,Wireless mouse (variant 168)
2024-01-01,64.27,48,2602,2,Webcam 1080p (variant 174)
2024-02-01,1.35,212,2217,2,Green tea bags 50pk (variant 89)
2024-02-01,2.72,293,2261,2,Avocados 4pk (variant 91)
2024-01-01,19.84,96,2719,1,Laundry detergent 1L (variant 182)
2024-02-01,31.72,35,2198,2,USB hub 4-port (variant 147)
2024-02-01,0.01,185,3097,1,Frozen peas 1kg (variant 124)
2024-01-01,0.01,32,3252,2,Shorts chino (variant 217)
2024-01-01,37.48,39,2862,1,LED desk lamp (variant 191)
2024-01-01,0.01,10,3223,1,Shower curtain (variant 215)
2024-01-01,0.12,81,3245,2,Almond butter 350g (variant 130)
2024-02-01,48.68,40,2714,1,Mouse pad XL (variant 181)
2024-01-01,43.32,14,2762,2,Phone case (variant 185)
2024-01-01,0.01,17,2818,1,Keyboard wrist rest (variant 188)
2024-02-01,9.66,11,2252,1,Jeans slim fit (variant 151)
2024-02-01,0.01,155,2283,1,Dish soap 500ml (variant 153)
2024-02-01,0.01,469,2565,2,Dark chocolate 100g (variant 103)
2024-01-01,2.32,26,2215,1,Cutting board bamboo (variant 148)
2024-02-01,0.01,247,3369,2,Sparkling water 6pk (variant 135)
2024-02-01,5.64,373,2853,1,Cheddar cheese 250g (variant 115)
2024-01-01,0.01,18,3222,1,LED desk lamp (variant 215)
2024-01-01,0.01,19,2554,2,Power bank 10000mAh (variant 171)
2024-01-01,58.99,35,2912,1,Jeans slim fit (variant 195)
2024-02-01,0.01,69,2028,2,Hoodie fleece (variant 136)
2024-02-01,0.01,21,3034,1,Power bank 10000mAh (variant 203)
2024-01-01,26.05,22,2431,1,Kitchen sponge 3pk (variant 163)
2024-02-01,45.08,50,2958,1,Screen protector (variant 198)
2024-01-01,0.01,110,2595,2,Cotton bath towel (variant 174)
2024-02-01,5.69,309,3113,2,Red apples 1kg (variant 125)
2024-01-01,0.01,25,2361,2,Avocados 4pk (variant 95)
2024-01-01,5.0,56,2931,2,Candles scented set (variant 196)
2024-02-01,0.01,188,2893,2,Orange juice 1L (variant 116)
2024-02-01,0.03,94,3461,2,Avocados 4pk (variant 139)
2024-02-01,0.01,194,2227,1,Picture frame A4 (variant 149)
2024-01-01,39.36,33,3010,2,Wireless charger (variant 201)
2024-01-01,187.7,13,2282,1,Phone case (variant 153)
2024-02-01,46.35,11,2286,1,HDMI cable 2m (variant 153)
2024-02-01,14.67,14,2627,2,Trash bags 30L (variant 176)
2024-01-01,0.01,188,3029,1,Greek yogurt 500g (variant 122)
2024-01-01,110.4,45,2206,1,Wireless mouse (variant 148)
2024-01-01,0.01,408,2053,1,Cheddar cheese 250g (variant 83)
2024-01-01,0.01,77,3276,1,Scarf wool blend (variant 219)
2024-02-01,22.2,160,2895,2,Cotton bath towel (variant 194)
2024-02-01,0.01,45,2218,1,Keyboard wrist rest (variant 148)
2024-02-01,7.33,376,2521,2,Honey 500g (variant 101)
2024-02-01,0.01,55,3416,1,Jacket windbreaker (variant 228)
2024-01-01,0.01,34,2486,1,Portable speaker (variant 166)
2024-01-01,19.62,60,2036,1,Jacket windbreaker (variant 136)
2024-01-01,0.01,175,2345,1,Almond butter 350g (variant 94)
2024-01-01,3.41,134,2849,1,Peanut butter 500g (variant 114)
2024-02-01,0.01,380,3045,2,Almond butter 350g (variant 122)
2024-01-01,0.01,461,2693,2,Orange juice 1L (variant 108)
2024-02-01,0.01,58,2932,2,Cap baseball (variant 196)
2024-02-01,0.01,44,2953,1,Cheddar cheese 250g (variant 119)
2024-01-01,12.66,56,2097,1,Frozen peas 1kg (variant 84)
2024-01-01,0.01,24,3068,2,Gloves winter (variant 205)
2024-02-01,2.25,287,3093,1,Orange juice 1L (variant 124)
2024-01-01,0.01,140,2791,2,Kitchen sponge 3pk (variant 187)
2024-02-01,0.01,165,2119,2,Laundry detergent 1L (variant 142)
2024-01-01,14.82,170,2227,1,Picture frame A4 (variant 149)
2024-02-01,2.57,332,2377,1,Free-range eggs 12pk (variant 96)
2024-02-01,22.36,31,2488,2,Dress shirt slim (variant 166)
2024-02-01,10.97,7,2766,1,HDMI cable 2m (variant 185)
2024-02-01,0.01,148,2675,1,Paper towels 4pk (variant 179)
2024-01-01,0.01,131,2963,2,Curtains blackout pair (variant 198)
2024-02-01,0.01,45,2222,2,Phone case (variant 149)
2024-01-01,5.85,115,2447,2,Trash bags 30L (variant 164)
2024-01-01,16.98,22,3290,1,Bluetooth earbuds (variant 220)
2024-02-01,1.16,327,2233,1,Canned tomatoes 400g (variant 90)
2024-02-01,22.35,127,2179,2,Laundry detergent 1L (variant 146)
2024-02-01,0.01,38,2616,1,Scarf wool blend (variant 175)
2024-01-01,0.96,124,2133,1,Canned tomatoes 400g (variant 86)
2024-01-01,60.54,100,3068,2,Gloves winter (variant 205)
2024-01-01,0.01,78,2660,1,Belt leather (variant 178)
2024-02-01,2.82,251,2613,2,Red apples 1kg (variant 105)
2024-01-01,0.01,6,2248,2,Dress shirt slim (variant 150)
2024-02-01,25.96,36,2446,1,Wireless mouse (variant 164)
2024-02-01,0.01,425,2105,1,Extra virgin olive oil 750ml (variant 85)
2024-01-01,0.01,152,3137,1,Bananas 1kg (variant 126)
2024-01-01,10.24,17,2080,2,Polo shirt (variant 139)
2024-02-01,0.01,85,2785,2,Chicken breast 500g (variant 112)
2024-02-01,117.83,36,3154,2,Power bank 10000mAh (variant 211)
2024-01-01,0.01,183,2139,2,Pillow insert 50x70cm (variant 143)
2024-02-01,0.01,458,2617,2,Green tea bags 50pk (variant 105)
2024-01-01,0.01,388,3117,1,Green tea bags 50pk (variant 125)
2024-02-01,57.87,141,2611,1,Kitchen sponge 3pk (variant 175)
2024-02-01,36.97,44,2256,2,Scarf wool blend (variant 151)
2024-02-01,0.01,136,2343,2,Dish soap 500ml (variant 157)
2024-02-01,13.45,133,2163,1,Dish soap 500ml (variant 145)
2024-02-01,37.05,188,2715,2,Cotton bath towel (variant 182)
2024-02-01,0.01,75,2348,1,Gloves winter (variant 157)
2024-01-01,14.81,19,3110,2,Bluetooth earbuds (variant 208)
2024-02-01,0.01,36,3071,1,Storage box 10L (variant 205)
2024-02-01,14.72,59,3404,1,Sweatpants joggers (variant 227)
2024-02-01,5.48,484,2021,2,Honey 500g (variant 81)
2024-02-01,0.01,108,2587,2,Picture frame A4 (variant 173)
2024-01-01,0.01,36,2478,1,Screen protector (variant 166)
2024-01-01,159.48,8,3134,2,Mouse pad XL (variant 209)
2024-01-01,15.24,50,3006,2,HDMI cable 2m (variant 201)
2024-01-01,52.61,15,2002,1,Webcam 1080p (variant 134)
2024-02-01,61.81,55,2752,2,Cap baseball (variant 184)
2024-01-01,15.9,145,2471,2,Storage box 10L (variant 165)
2024-01-01,14.67,42,2271,1,Candles scented set (variant 152)
2024-01-01,0.01,43,2770,1,Wireless charger (variant 185)
2024-02-01,0.01,392,2089,2,Baby spinach 200g (variant 84)
2024-02-01,0.01,73,3012,1,Shorts chino (variant 201)
2024-01-01,8.33,195,2785,1,Chicken breast 500g (variant 112)
2024-01-01,10.56,88,3243,2,Dish soap 500ml (variant 217)
2024-02-01,70.59,61,3116,1,Jacket windbreaker (variant 208)
2024-01-01,0.01,44,2448,1,Hoodie fleece (variant 164)
2024-01-01,0.01,28,2514,1,SD card 64GB (variant 168)
